10000;0.0
20000;0.6
30000;0.39999999999999997
40000;0.45
50000;0.25
60000;0.1
70000;0.05
80000;0.0
90000;0.0
100000;0.0
110000;0.0
120000;0.0
130000;0.0
140000;0.0
150000;0.0
160000;0.0
170000;0.0
180000;0.0
190000;0.0
200000;0.0
210000;0.0
220000;0.0
230000;0.0
240000;0.0
250000;0.0
260000;0.0
270000;0.0
280000;0.0
290000;0.0
300000;0.0
310000;0.0
320000;0.0
330000;0.0
340000;0.0
350000;0.0
360000;0.0
370000;0.0
380000;0.0
390000;0.0
400000;0.0
410000;0.0
420000;0.0
430000;0.0
440000;0.0
450000;0.0
460000;0.0
470000;0.0
480000;0.0
490000;0.0
500000;0.0
510000;0.0
520000;0.0
530000;0.0
540000;0.0
550000;0.0
560000;0.0
570000;0.0
580000;0.0
590000;0.0
600000;0.0
610000;0.0
620000;0.0
630000;0.0
640000;0.0
650000;0.0
660000;0.0
670000;0.0
680000;0.0
690000;0.0
700000;0.0
710000;0.0
720000;0.0
730000;0.0
740000;0.0
750000;0.0
760000;0.0
770000;0.0
780000;0.0
790000;0.0
800000;0.0
810000;0.0
820000;0.0
830000;0.0
840000;0.0
850000;0.0
860000;0.0
870000;0.0
880000;0.0
890000;0.0
900000;0.0
910000;0.0
920000;0.0
930000;0.0
940000;0.0
950000;0.0
960000;0.0
970000;0.0
980000;0.0
990000;0.0
1000000;0.0
1010000;0.0
1020000;0.0
1030000;0.0
1040000;0.0
1050000;0.0
1060000;0.0
1070000;0.0
1080000;0.0
1090000;0.0
1100000;0.0
1110000;0.0
1120000;0.0
1130000;0.0
1140000;0.0
1150000;0.0
1160000;0.0
1170000;0.0
1180000;0.0
1190000;0.0
1200000;0.0
1210000;0.25
1220000;0.0
1230000;0.0
1240000;0.35
1250000;0.0
1260000;0.25
1270000;0.4
1280000;0.3
1290000;0.0
1300000;0.4
1310000;0.8500000000000001
1320000;0.45000000000000007
1330000;0.45000000000000007
1340000;1.1500000000000001
1350000;0.15000000000000002
1360000;0.8
1370000;0.7000000000000001
1380000;0.05
1390000;0.2
1400000;0.35000000000000003
1410000;0.2
1420000;0.0
1430000;0.65
1440000;0.0
1450000;0.0
1460000;0.05
1470000;0.0
1480000;0.0
1490000;0.0
1500000;0.7999999999999999
1510000;0.0
1520000;0.0
1530000;0.0
1540000;0.0
1550000;0.0
1560000;0.0
1570000;0.15000000000000002
1580000;0.8
1590000;0.0
1600000;0.65
1610000;0.0
1620000;0.0
1630000;0.85
1640000;0.8500000000000001
1650000;1.3500000000000003
1660000;7.249999999999998
1670000;0.44999999999999996
1680000;8.0
1690000;8.35
